timestampMicros,label,intensity
828523,P2_synthetic,0.842591
922092,P1_synthetic,0.656821
1656486,P2_synthetic,0.623139
1817048,P1_synthetic,0.836903
2501652,P2_synthetic,0.313117
2701632,P1_synthetic,0.899977
3368204,P2_synthetic,0.0316985
3568238,P1_synthetic,0.834746
4374158,P2_synthetic,0
4437997,P1_synthetic,0.659365
5272926,P2_synthetic,0.0154605
5306572,P1_synthetic,0.41862
6172111,P1_synthetic,0.173961
6188544,P2_synthetic,0.307033
7055000,P1_synthetic,0
7105398,P2_synthetic,0.641591
7955265,P1_synthetic,0
8038508,P2_synthetic,0.867428
8871694,P1_synthetic,0
8972132,P2_synthetic,0.871209
9805527,P1_synthetic,0.139957
9905977,P2_synthetic,0.650897
10772100,P1_synthetic,0.409246
10821826,P2_synthetic,0.317933
11726524,P2_synthetic,0.0253445
11766498,P1_synthetic,0.68241
