timestampMicros,bpm,envelopePeak,sceneId
667620,69.4663,0.75659,Idle
921259,69.5692,0.761827,Idle
1174465,69.6571,0.761975,Idle
1428150,69.7298,0.757224,Idle
1681662,69.7864,0.747866,Idle
1935565,52.4944,0.65,Idle
2201987,54.4944,0.65,Idle
2468684,54.4944,0.524206,Idle
2735281,71.3895,0.65,Idle
3001611,71.3895,0.65,Idle
3268204,71.3895,0.65,Idle
3518253,68.9231,0.65,Idle
3784959,68.9231,0.522422,Idle
4051572,68.9231,0.285666,Idle
4301574,68.9231,0.354842,Idle
4568209,68.9231,0.231525,Idle
4834838,68.9231,0.363438,Idle
5084856,68.9231,0.300451,Idle
5351509,68.9231,0.283026,Idle
5601529,68.9231,0.230937,Idle
5851608,68.9231,0.273712,Idle
6118180,68.9231,0.287057,Idle
6384817,68.9231,0.272597,Idle
6634833,68.9231,0.303215,Idle
6901470,68.9231,0.255577,Idle
7168106,68.9231,0.254841,Idle
7434737,68.9231,0.27832,Idle
7684740,68.9231,0.311852,Idle
7934775,68.9231,0.24395,Idle
8201433,68.9231,0.269785,Idle
8468049,68.9231,0.247515,Idle
8718089,68.9231,0.254972,Idle
8984746,68.9231,0.376798,Idle
9234746,68.9231,0.235015,Idle
9501392,68.9231,0.232418,Idle
9767996,68.9231,0.243,Idle
10018592,64.5793,0.606587,Idle
10284666,64.3949,0.61591,Idle
10551422,64.2259,0.619866,Idle
10817962,64.0742,0.618334,Idle
11068045,63.9485,0.611942,Idle
11334667,63.8332,0.599999,Idle
11601327,63.7382,0.583041,Idle
11867923,63.6642,0.56148,Idle
12117925,47.1116,0.65,Idle
12384552,47.1116,0.65,Idle
12634556,47.1116,0.65,Idle
12884565,67.4855,0.65,Idle
13151220,67.4855,0.65,Idle
13417851,67.4855,0.50314,Idle
13684475,68.943,0.534727,Idle
13934500,68.943,0.298509,Idle
14201096,68.943,0.309183,Idle
14451144,67.5556,0.65,Idle
14701499,67.5556,0.65,Idle
14967952,67.5556,0.421169,Idle
15218959,89.0207,0.391857,Idle
15485334,89.0207,0.394626,Idle
15751146,89.0207,0.273636,Idle
16017807,89.0207,0.278479,Idle
16267810,89.0207,0.408239,Idle
16534459,89.0207,0.291992,Idle
16801083,50.041,0.469736,Idle
17067752,50.041,0.65,Idle
17334395,83.4231,0.65,Idle
17601017,83.4231,0.278677,Idle
17851067,83.4231,0.316292,Idle
18117691,83.4231,0.40841,Idle
18367708,83.4231,0.29919,Idle
18634383,83.4231,0.260081,Idle
18887091,83.4231,0.65,Idle
19154242,83.4231,0.318259,Idle
19417840,83.4231,0.236831,Idle
19667922,83.4231,0.343779,Idle
19934462,83.4231,0.333836,Idle
20184559,83.4231,0.325796,Idle
20450881,69.9259,0.732447,Idle
20701395,70.1158,0.723538,Idle
20968819,70.2997,0.708824,Idle
21234138,70.4615,0.68901,Idle
21500830,70.6022,0.664077,Idle
21767573,70.7199,0.634451,Idle
22017919,70.8086,0.607348,Idle
22284300,70.879,0.593182,Idle
22550659,70.9241,0.574177,Idle
22800677,70.9429,0.552337,Idle
23067238,70.9378,0.525311,Idle
23317292,70.9092,0.497011,Idle
23583967,70.8533,0.464369,Idle
23850630,70.7715,0.429954,Idle
24105019,70.6695,0.396221,Idle
24367801,70.5403,0.361242,Idle
24636334,70.3838,0.326193,Idle
24890797,70.2136,0.3,Idle
25151115,70.0183,0.3,Idle
25401192,69.8117,0.3,Idle
25651214,69.5875,0.3,Idle
25903216,69.3449,0.3,Idle
26170007,69.0715,0.3,Idle
26438782,51.3793,0.32049,Idle
26703653,51.3793,0.293111,Idle
26969922,51.3793,0.32988,Idle
27235559,78.5507,0.587644,Idle
27500708,78.5507,0.281717,Idle
27752251,74.4929,0.65,Idle
28017381,74.4929,0.449888,Idle
28283716,83.4396,0.65,Idle
28533745,83.4396,0.65,Idle
28800378,83.4396,0.396945,Idle
29067030,79.952,0.40536,Idle
29333701,79.952,0.554104,Idle
29600367,95.039,0.264766,Idle
29866975,95.039,0.547296,Idle
30117418,80.1734,0.65,Idle
30383679,80.1734,0.65,Idle
30650314,83.4451,0.65,Idle
30920756,81.4451,0.65,Idle
31183605,83.4451,0.471904,Idle
31450253,83.4451,0.402823,Idle
31716920,64.5049,0.490955,Idle
31983577,64.5049,0.59351,Idle
32250198,85.9973,0.65,Idle
32500225,85.9973,0.358772,Idle
32766891,88.4064,0.58214,Idle
33033722,88.4064,0.65,Idle
33300154,88.4064,0.65,Idle
33550216,88.4064,0.65,Idle
33800249,88.4064,0.469243,Idle
34066826,55.6546,0.337928,Idle
34316852,55.6546,0.304055,Idle
34567156,84.8285,0.562008,Idle
34833480,84.8285,0.470684,Idle
35100148,84.8285,0.49462,Idle
35366798,84.8285,0.244979,Idle
35633448,61.7306,0.552459,Idle
35900017,61.7306,0.65,Idle
36150107,61.7306,0.619706,Idle
36416751,61.7306,0.443653,Idle
36666755,61.7306,0.65,Idle
36933365,59.7306,0.308894,Idle
37201065,61.7306,0.65,Idle
37466705,61.7306,0.609979,Idle
37735697,66.3082,0.3,Idle
37999997,66.6734,0.3,Idle
38266612,67.0457,0.3,Idle
38516650,67.396,0.3,Idle
38783300,61.2297,0.65,Idle
39049961,61.2297,0.501223,Idle
39316577,61.2297,0.65,Idle
39567216,61.2297,0.45727,Idle
39833248,61.2297,0.312042,Idle
40099940,61.2297,0.525848,Idle
40366595,61.2297,0.505064,Idle
40616834,61.2297,0.501958,Idle
40868901,61.2297,0.285232,Idle
41135815,61.2297,0.274744,Idle
41407697,61.2297,0.305789,Idle
41668844,61.2297,0.65,Idle
41937557,71.2747,0.673904,Idle
42202016,71.433,0.720565,Idle
42469142,71.5643,0.762498,Idle
42735930,71.6658,0.798415,Idle
42999964,71.7364,0.827491,Idle
43249964,71.7751,0.848672,Idle
43516419,50.7644,0.578225,Idle
43766536,50.7644,0.599686,Idle
44033095,50.7644,0.324155,Idle
44283266,50.7644,0.345224,Idle
44549741,60.308,0.65,Idle
44816465,60.308,0.642902,Idle
45083166,60.308,0.33572,Idle
45349864,60.308,0.2917,Idle
45616675,62.6566,0.443577,Idle
45883609,62.6566,0.292671,Idle
46150563,81.8649,0.65,Idle
46416800,81.8649,0.65,Idle
46684262,81.8649,0.235135,Idle
46950469,81.8649,0.247768,Idle
47217759,81.8649,0.339715,Idle
47485044,81.8649,0.246251,Idle
47752230,81.8649,0.318621,Idle
48018015,81.8649,0.306008,Idle
48284972,81.8649,0.293616,Idle
48549609,81.8649,0.278557,Idle
48818611,81.8649,0.332538,Idle
49085491,81.8649,0.315241,Idle
49352017,81.8649,0.262856,Idle
49618156,81.8649,0.303128,Idle
49885840,81.8649,0.40861,Idle
50152957,81.8649,0.34375,Idle
50419564,81.8649,0.302352,Idle
50689051,81.8649,0.279987,Idle
50949515,81.8649,0.284797,Idle
51216185,81.8649,0.35323,Idle
51482815,81.8649,0.328277,Idle
51749515,81.8649,0.289345,Idle
52016153,81.8649,0.277287,Idle
52282764,81.8649,0.268613,Idle
52532782,81.8649,0.427898,Idle
52799418,81.8649,0.270816,Idle
53066085,81.8649,0.262081,Idle
53316098,81.8649,0.328409,Idle
53582748,81.8649,0.247608,Idle
53849374,81.8649,0.282191,Idle
54099457,81.8649,0.259736,Idle
54366668,81.8649,0.252254,Idle
54633148,81.8649,0.258747,Idle
54900058,81.8649,0.296521,Idle
55167174,62.347,0.596282,Idle
55434058,62.5314,0.59726,Idle
55700615,62.7454,0.595278,Idle
55967542,66.8727,0.37575,Idle
56236895,66.8727,0.65,Idle
56501263,66.8727,0.242569,Idle
56768114,66.8727,0.254334,Idle
57035065,66.8727,0.409329,Idle
57301826,66.8727,0.273572,Idle
57568209,66.8727,0.284087,Idle
57835537,66.8727,0.260558,Idle
58102691,66.8727,0.301199,Idle
58369402,66.8727,0.301375,Idle
58635908,66.8727,0.321644,Idle
58902688,66.8727,0.264286,Idle
59165835,66.8727,0.2664,Idle
59432512,66.8727,0.274845,Idle
59699177,66.8727,0.263165,Idle
59949179,66.8727,0.307806,Idle
60215814,69.0287,0.607797,Idle
60465817,69.3921,0.596797,Idle
60732451,89.0184,0.411557,Idle
60982459,89.0184,0.319621,Idle
61249102,89.0184,0.262237,Idle
61515744,89.0184,0.282672,Idle
61782410,89.0184,0.310241,Idle
62049309,89.0184,0.314245,Idle
62315946,51.8257,0.294731,Idle
62582660,51.8257,0.281647,Idle
62850481,51.8257,0.2477,Idle
63116711,51.8257,0.252023,Idle
63382893,51.8257,0.285074,Idle
63650080,51.8257,0.3006,Idle
63917253,51.8257,0.65,Idle
64184364,51.8257,0.347608,Idle
64450985,51.8257,0.310443,Idle
64717991,51.8257,0.250071,Idle
64984612,51.8257,0.238295,Idle
65252345,51.8257,0.235782,Idle
65518350,51.8257,0.270358,Idle
65785006,51.8257,0.265152,Idle
66051941,51.8257,0.258546,Idle
66318574,51.8257,0.257492,Idle
66585328,51.8257,0.26957,Idle
66852220,51.8257,0.255926,Idle
67118793,51.8257,0.251176,Idle
67382176,51.8257,0.295972,Idle
67648820,51.8257,0.347458,Idle
67915488,69.1233,0.333035,Idle
68182166,68.7178,0.3,Idle
68448779,68.3005,0.3,Idle
68715431,67.8741,0.3,Idle
68965445,60.7121,0.530401,Idle
69232100,60.7121,0.254305,Idle
69482109,60.7121,0.259069,Idle
69732204,60.7121,0.264294,Idle
69998927,60.7121,0.282697,Idle
70265978,60.7121,0.317556,Idle
70532507,60.7121,0.267219,Idle
70801405,60.7121,0.285189,Idle
71066138,60.7121,0.247307,Idle
71333223,60.7121,0.267548,Idle
71599366,60.7121,0.258378,Idle
71867215,60.7121,0.25776,Idle
72131996,60.7121,0.266815,Idle
72400767,60.7121,0.25956,Idle
72667271,60.7121,0.258965,Idle
72934459,58.7121,0.305373,Idle
73201115,61.9288,0.754657,Idle
73467916,61.7831,0.78872,Idle
73734594,61.6715,0.817763,Idle
74001184,61.5949,0.84107,Idle
74268029,61.5536,0.858043,Idle
74534963,61.5482,0.86816,Idle
74801804,61.5786,0.871051,Idle
75068382,61.6446,0.866511,Idle
75335221,61.7459,0.85447,Idle
75601781,61.8816,0.835045,Idle
75865181,62.0489,0.808835,Idle
76115183,62.2371,0.777864,Idle
76365187,62.4529,0.741415,Idle
76631832,62.7122,0.697138,Idle
76881874,62.9811,0.651251,Idle
77148483,63.2935,0.598532,Idle
77398496,63.6088,0.546415,Idle
77665112,63.9667,0.488998,Idle
77931770,64.3448,0.44097,Idle
78198422,64.7406,0.405813,Idle
78448462,65.1254,0.372487,Idle
78715073,65.5478,0.337374,Idle
78981733,65.98,0.303512,Idle
79248357,66.4191,0.3,Idle
79498375,66.8345,0.3,Idle
79749422,67.2528,0.3,Idle
80016336,67.696,0.3,Idle
80283288,68.1349,0.3,Idle
80549767,68.5657,0.3,Idle
80817152,68.9878,0.3,Idle
81083508,69.3954,0.3,Idle
81350596,69.7885,0.3,Idle
81617347,70.1629,0.3,Idle
81884133,70.5166,0.3,Idle
82151093,70.8475,0.3,Idle
82417804,71.1529,0.3,Idle
82687770,71.4344,0.3,Idle
82951231,55.8873,0.299504,Idle
83218065,55.8873,0.378508,Idle
83485055,55.8873,0.261042,Idle
83751486,55.8873,0.283977,Idle
84014867,60.485,0.285553,Idle
84281493,60.485,0.238993,Idle
84548372,60.485,0.240638,Idle
84814791,69.6185,0.54753,Idle
85064927,69.6185,0.245623,Idle
85331426,69.6185,0.260627,Idle
85581481,69.6185,0.245646,Idle
85831671,63.8056,0.273367,Idle
86098173,63.8056,0.288406,Idle
86364941,63.8056,0.25845,Idle
86631638,63.8056,0.267905,Idle
86898537,56.1509,0.65,Idle
87165328,56.1509,0.65,Idle
87432328,56.1509,0.65,Idle
87699133,56.1509,0.576198,Idle
87965866,56.1509,0.295064,Idle
88232707,56.1509,0.65,Idle
88499840,56.1509,0.65,Idle
88766866,56.1509,0.291023,Idle
89033509,56.1509,0.296035,Idle
89300117,56.1509,0.355698,Idle
89566827,56.1509,0.271726,Idle
89833764,56.1509,0.262163,Idle
90100609,66.7394,0.465509,Idle
90367255,66.2971,0.439272,Idle
90634147,65.8591,0.412445,Idle
90900887,65.4292,0.385454,Idle
91167569,60.136,0.65,Idle
91434640,60.136,0.65,Idle
91701187,60.136,0.317898,Idle
91968010,60.136,0.65,Idle
92231139,60.136,0.632001,Idle
92497822,51.4054,0.65,Idle
92764492,51.4054,0.334002,Idle
93031156,51.4054,0.352666,Idle
93297798,51.4054,0.271127,Idle
93547799,51.4054,0.412578,Idle
93814409,51.4054,0.65,Idle
94064436,51.4054,0.65,Idle
94314483,51.4054,0.326652,Idle
94581369,51.4054,0.260371,Idle
94847831,51.4054,0.335265,Idle
95114649,51.4054,0.242502,Idle
95381322,51.4054,0.313874,Idle
95648491,51.4054,0.251556,Idle
95914816,51.4054,0.292848,Idle
96182128,51.4054,0.215535,Idle
96449251,51.4054,0.280641,Idle
96715381,51.4054,0.37594,Idle
96982203,62.4116,0.641593,Idle
97249837,62.6658,0.670902,Idle
97516553,62.9473,0.695317,Idle
97783335,66.662,0.65,Idle
98050032,66.662,0.65,Idle
98316737,66.662,0.278963,Idle
98583692,72.2358,0.372767,Idle
98850495,72.2358,0.65,Idle
99114183,72.2358,0.307746,Idle
99364187,72.2358,0.25845,Idle
99614210,72.2358,0.226261,Idle
99864483,72.2358,0.233081,Idle
100117894,72.2358,0.243078,Idle
100384626,72.2358,0.22149,Idle
100647536,72.2358,0.21145,Idle
100914152,72.2358,0.236293,Idle
101164152,72.2358,0.213274,Idle
101430805,72.2358,0.220019,Idle
101697450,72.2358,0.24585,Idle
101947467,72.2358,0.243982,Idle
102214117,72.2358,0.25598,Idle
102464130,72.2358,0.243454,Idle
102730771,72.2358,0.234792,Idle
102997735,72.2358,0.239708,Idle
103264262,72.2358,0.251925,Idle
103531135,72.2358,0.310749,Idle
103797829,72.2358,0.407609,Idle
104064679,72.2358,0.210568,Idle
104331534,72.2358,0.234493,Idle
104598712,72.2358,0.308394,Idle
104865468,72.2358,0.242033,Idle
105132065,72.2358,0.257361,Idle
105398698,72.2358,0.307192,Idle
105665741,72.2358,0.262423,Idle
105932658,72.2358,0.242269,Idle
106199337,72.2358,0.385818,Idle
106466422,72.2358,0.28086,Idle
106733125,71.9072,0.550665,Idle
106999343,71.7257,0.574065,Idle
107266680,71.5127,0.593155,Idle
107530906,71.2733,0.607235,Idle
107798200,71.0036,0.616297,Idle
108065004,70.7085,0.619928,Idle
108333482,70.3876,0.618036,Idle
108600567,70.0467,0.610678,Idle
108863892,69.6915,0.598249,Idle
109130527,69.3151,0.580724,Idle
109397166,68.9243,0.558648,Idle
109663840,68.5216,0.532542,Idle
109930445,74.6692,0.298176,Idle
110180458,74.6692,0.239551,Idle
110430472,74.6692,0.242898,Idle
110697139,74.6692,0.315234,Idle
110963773,74.6692,0.261931,Idle
111214220,74.6692,0.299932,Idle
111480856,74.6692,0.344043,Idle
111747545,74.6692,0.260314,Idle
112014929,74.6692,0.308122,Idle
112281214,74.6692,0.293006,Idle
112549969,74.6692,0.241171,Idle
112814836,74.6692,0.255054,Idle
113081958,74.6692,0.244027,Idle
113349111,74.6692,0.269096,Idle
113615360,74.6692,0.255721,Idle
113882555,74.6692,0.249515,Idle
114149446,74.6692,0.342181,Idle
114416125,74.6692,0.234748,Idle
114682883,74.6692,0.246462,Idle
114949763,74.6692,0.292034,Idle
115216519,74.6692,0.277747,Idle
115483335,74.6692,0.258508,Idle
115749902,74.6692,0.229193,Idle
116016614,74.6692,0.299874,Idle
116283875,61.9698,0.695179,Idle
116550313,62.0528,0.716359,Idle
116816970,62.168,0.733903,Idle
