timestampMicros,bpm,envelopePeak,sceneId
2040585,69.8382,0.727469,Idle
2303850,69.8545,0.707856,Idle
2553865,69.8527,0.686185,Idle
2812222,69.8329,0.661272,Idle
3066254,69.7956,0.634894,Idle
3320507,69.7408,0.607255,Idle
3570616,69.6698,0.579469,Idle
3835347,69.5766,0.55007,Idle
4101725,69.4644,0.521161,Idle
4351757,69.343,0.495205,Idle
4618388,69.1969,0.469333,Idle
4885057,69.0344,0.445817,Idle
5151724,68.8566,0.425084,Idle
5418394,68.6644,0.407468,Idle
5668412,68.4723,0.393992,Idle
5935043,68.2559,0.382996,Idle
6201675,68.0289,0.375522,Idle
6452064,67.8073,0.371662,Idle
6718516,67.5641,0.370774,Idle
6985149,67.3147,0.372983,Idle
7251824,67.0607,0.377981,Idle
7518452,66.8039,0.385393,Idle
7784905,66.5462,0.394784,Start
8034921,66.305,0.404983,Start
8301566,66.05,0.416872,Start
8551566,65.8147,0.428528,Start
8801578,65.5842,0.440255,Start
9054614,65.3576,0.451789,Start
9323041,65.1259,0.463226,Start
9587235,64.9083,0.47328,Start
9851745,64.7024,0.481803,Start
10118146,64.5085,0.488539,Start
10384787,64.3295,0.493208,Start
10634812,64.1765,0.495581,Start
10884859,64.0389,0.495963,Start
11151416,63.9103,0.494201,Start
11401460,63.8074,0.490604,Start
11668105,63.7176,0.484869,Start
11918106,63.6527,0.477931,Start
12168109,63.607,0.469753,Start
12434695,63.58,0.460014,Start
12684709,63.5752,0.450291,Start
12951379,63.5922,0.439723,Start
13218045,63.6323,0.429417,Start
13484664,63.6952,0.419857,Start
13734690,63.7748,0.41199,Start
14001326,63.8812,0.405201,Start
14251355,64.0007,0.400701,Start
14501380,64.1387,0.398318,Start
14767963,64.3056,0.3984,Start
15017975,64.4796,0.401147,Start
15269463,64.6708,0.406658,Start
15534554,64.8889,0.415525,Start
15801251,65.1241,0.427602,Start
16051278,65.3576,0.441709,Start
16317860,65.6189,0.459532,Start
16567871,65.8742,0.478606,Start
18395009,67.8954,0.65002,Start
18656311,68.1848,0.672317,Start
18923884,68.4753,0.692635,Start
19178867,68.7449,0.709051,Start
19437116,69.009,0.722221,Start
19690500,69.2576,0.731313,Start
19940864,69.4915,0.736201,Start
20195438,69.7159,0.736698,Start
20453753,69.9282,0.732371,Start
20717880,70.1278,0.722786,Start
20984439,70.3098,0.7078,Start
21251034,70.4711,0.687577,Start
21501075,70.6024,0.664052,Start
21767672,70.72,0.634439,Start
22017692,70.8085,0.602823,Start
22267708,70.8753,0.567967,Start
22534292,70.922,0.527852,Start
22784300,70.9424,0.488123,Start
23034306,70.9399,0.44705,Start
23300942,70.9118,0.402586,Start
23567633,70.8575,0.358335,Start
23817676,70.783,0.317891,Start
24084248,70.6787,0.276781,Start
24350913,70.5493,0.238638,Start
24600983,70.4058,0.206367,Start
24867643,70.2299,0.176468,Start
25134226,70.0316,0.151965,Start
25400883,69.8119,0.133494,Start
25652987,69.5858,0.122069,Start
25917559,69.3306,0.116776,Start
26184222,69.0565,0.118646,Start
26450816,68.7672,0.127872,Start
26701312,68.4832,0.143218,Start
26967472,68.1701,0.166445,Start
27217522,67.8673,0.194475,Start
27467587,67.5578,0.228124,Start
27734103,67.2225,0.269603,Start
27984106,66.9049,0.313139,Start
28250743,66.565,0.363698,Start
28517419,66.226,0.417592,Start
28784061,65.8903,0.473769,Start
29050721,65.5601,0.531143,Start
29317353,65.2377,0.588564,Start
29567397,64.9443,0.641434,Start
29817415,64.6614,0.692385,Start
30084006,64.3732,0.743568,Start
30350692,64.1008,0.790478,Start
30617299,63.8463,0.832098,Start
30867337,63.6253,0.865544,Start
31133965,63.4101,0.894515,Start
31400644,63.2176,0.915952,Start
31667260,63.0491,0.929353,Start
31933910,62.9059,0.93439,Start
32183950,62.7956,0.931364,Start
32450630,62.7043,0.919875,Start
32717228,62.6411,0.900038,Start
32967248,62.6077,0.874151,Start
33217269,62.5997,0.841639,Start
33483902,62.6193,0.800274,Start
33750565,62.6681,0.752773,Start
34017224,62.7457,0.700062,Start
34267301,62.8444,0.646806,Start
34533853,62.9768,0.587027,Start
34800498,63.1364,0.525268,Start
35067103,63.3223,0.462779,Start
35317112,63.5195,0.404606,Start
35567115,63.7379,0.347882,Start
35817122,63.9761,0.29359,Start
36083759,64.2507,0.239427,Start
36333794,64.5258,0.193072,Start
36583806,64.8165,0.151829,Start
36850421,65.1418,0.114265,Start
