timestampMicros,bpm,envelopePeak,sceneId
2961402,68.6565,0.938296,Idle
3217868,68.9335,0.939695,Idle
3470149,69.1776,0.934345,Idle
3722861,69.3924,0.922386,Idle
3976268,69.5766,0.903952,Idle
4229231,69.7284,0.87941,Idle
4482724,69.8475,0.849057,Idle
4735946,69.9326,0.813466,Idle
4989215,69.9836,0.773169,Idle
5242917,70,0.728739,Idle
5496511,69.9817,0.680975,Idle
5749795,69.9289,0.630689,Idle
6002249,69.8422,0.578803,Idle
6256755,69.7209,0.52555,Idle
6510354,69.5668,0.472397,Idle
6763482,69.381,0.420104,Idle
7017169,69.1636,0.3693,Idle
7270495,68.9167,0.320984,Idle
7523446,68.6418,0.275921,Idle
7777033,68.3394,0.234658,Idle
8030865,68.0116,0.197944,Idle
8283649,67.6621,0.16653,Idle
8536966,67.2907,0.140706,Idle
8790768,66.8995,0.120927,Idle
9044450,66.4917,0.107571,Idle
9297360,66.0708,0.100852,Idle
9550716,0,0.0288801,Idle
9804348,0,0.0251377,Idle
10057814,0,0.0174411,Idle
10311218,76.7141,0.113075,Idle
10564796,76.7141,0.0195127,Idle
10818594,76.7141,0.0591016,Idle
11071306,74.9083,0.418879,Idle
11325356,74.9083,0.155193,Idle
11578235,74.9083,0.154857,Idle
11831703,74.9083,0.0827512,Idle
12085303,74.9083,0.0204257,Idle
12338922,74.9083,0.00959565,Idle
12591942,43.54,0.0262412,Idle
12845316,43.54,0.00770962,Idle
13099555,91.2634,0.021209,Idle
13352684,91.2634,0.0851762,Idle
13605550,126.371,0.244681,Idle
13859092,126.371,0.0150542,Idle
14112544,117.264,0.205675,Idle
14366738,117.264,0.193619,Idle
14633359,99.451,0.101141,Idle
14883363,99.451,0.125721,Idle
15150022,99.451,0.0241568,Idle
15416662,99.451,0.0628218,Idle
15683267,99.451,0.0928324,Idle
15933311,99.451,0.202245,Idle
16199953,99.451,0.0773152,Idle
16449957,34.4848,0.252175,Idle
16716621,34.4848,0.0747184,Idle
16966937,34.4848,0.0179987,Idle
17233850,69.0946,0.191598,Idle
17500575,69.0946,0.0279404,Idle
17767298,69.0946,0.123013,Idle
18033750,76.9251,0.445261,Idle
18300638,76.9251,0.0294561,Idle
18566506,119.815,0.14537,Idle
18816544,119.815,1.26058,Idle
19083210,119.815,0.246619,Idle
19349835,119.815,0.0288769,Idle
19616500,53.0748,0.538754,Idle
19883162,53.0748,0.068343,Idle
20149818,53.0748,0.0212803,Idle
20416450,94.5006,0.157733,Idle
20683104,94.5006,0.219636,Idle
20949789,94.5006,0.0403116,Idle
21216427,71.0725,0.0221643,Idle
21483066,71.0725,0.195204,Idle
21733087,71.0725,0.04487,Idle
21999731,71.0725,0.349206,Idle
22266376,71.0725,0.676569,Idle
22516381,71.0725,1.61274,Idle
22783044,71.0725,0.0753631,Idle
23050729,71.0725,0.0813989,Idle
23316302,28.0478,0.941681,Idle
23566316,28.0478,0.0491711,Idle
23816320,112.588,0.092168,Idle
24082994,112.588,0.0407739,Idle
24349652,112.588,0.0358477,Idle
24616280,112.588,0.10746,Idle
24866287,112.588,0.085594,Idle
25116730,112.588,0.072118,Idle
25383726,43.2406,0.138713,Idle
25649991,43.2406,0.149396,Idle
25916714,43.2406,0.0220992,Idle
26183745,43.2406,0.0644626,Idle
26450193,43.2406,0.245854,Idle
26717168,41.577,0.148377,Idle
26982838,41.577,0.162684,Idle
27232885,41.577,0.0856918,Idle
27499478,41.577,0.114658,Idle
27749515,41.577,0.0764797,Idle
28016155,51.5482,0.2192,Idle
28282803,51.5482,0.25789,Idle
28549462,51.5482,0.12796,Idle
28816052,51.5482,0.2227,Idle
29066155,51.5482,0.123851,Idle
29332755,51.5482,0.0199326,Idle
29599419,51.5482,0.0414411,Idle
29866023,51.5482,0.0220258,Idle
30116067,51.5482,0.015011,Idle
30382716,51.5482,0.0342929,Idle
30632719,51.5482,0.0102936,Idle
30899386,51.5482,0.113943,Idle
31166027,17.9864,0.0602302,Idle
31432671,17.9864,0.0125379,Idle
31682684,122.558,0.0820634,Idle
31949332,122.558,0.0313035,Idle
32215996,122.558,0.0120186,Idle
32482643,122.558,0.0462323,Idle
32733116,57.5839,0.0348031,Idle
32999940,57.5839,0.00952096,Idle
33266355,57.5839,0.0264475,Idle
33532853,82.9063,0.0117479,Idle
33799936,82.9063,0.0108047,Idle
34066544,125.858,0.0137386,Idle
34333637,125.858,0.0116824,Idle
