timestampMicros,label,intensity
4209305,P1_synthetic,0.714066
4209305,P2_synthetic,0
4245496,P1_detected,0.2
4245496,P2_detected,0.2
5743996,P1_fallback,0.2
6770378,P1_fallback,0.2
7770435,P1_fallback,0.2
8784144,P1_fallback,0.2
9770631,P1_fallback,0.2
10771040,P1_fallback,0.2
11891712,P1_fallback,0.2
12890528,P1_fallback,0.381519
13890333,P1_fallback,0.363489
14891076,P1_fallback,0.598245
15890302,P1_fallback,0.313879
16890981,P1_fallback,0.473731
17890379,P1_fallback,0.341489
18890288,P1_fallback,0.275222
19890311,P1_fallback,0.378579
20890726,P1_fallback,0.284427
21890363,P1_fallback,0.2
22884259,P1_fallback,0.569249
23900904,P1_fallback,0.506493
24700888,P2_fallback,0.209113
24717537,P1_fallback,0.385147
25317463,P1_fallback,0.33822
25884069,P1_fallback,0.54086
26884061,P1_fallback,0.599981
27900627,P1_fallback,0.576069
28900596,P1_fallback,0.540013
29884231,P1_fallback,0.492669
30883944,P1_fallback,0.598876
31900579,P1_fallback,0.513157
32250751,P1_fallback,0.379656
32900509,P1_fallback,0.423345
33883812,P1_fallback,0.282354
34883719,P1_fallback,0.239372
35900424,P1_fallback,0.303833
36867064,P1_fallback,0.394106
37383825,P1_fallback,1
38066948,P1_detected,1
38600546,P1_detected,1
39483588,P1_detected,1
40133458,P1_detected,1
41650205,P1_fallback,0.6
42467096,P1_fallback,0.6
42600175,P1_fallback,0.480234
43083417,P1_fallback,1
43566697,P1_detected,0.926562
45050005,P1_detected,0.417079
46066724,P1_detected,0.758507
47566620,P1_detected,0.432264
48399938,P1_fallback,0.5999
48666607,P1_fallback,0.468093
49266515,P1_fallback,0.555363
50083206,P1_fallback,0.49305
50916509,P1_fallback,0.457282
51766425,P1_fallback,0.393444
52267047,P1_fallback,0.395861
52783099,P1_fallback,0.494259
54299729,P1_fallback,0.422939
54366372,P1_fallback,0.890811
55299609,P1_detected,1
56632855,P1_detected,0.532266
57132894,P1_detected,1
57132894,P2_detected,0.395379
58066168,P1_detected,0.423618
58432821,P2_detected,0.590007
58582815,P1_detected,1
59632828,P1_detected,0.415274
60450644,P2_detected,1
61132949,P1_detected,0.6
61932710,P1_fallback,0.589691
62716052,P1_fallback,0.375258
63516025,P1_fallback,0.209275
64299346,P1_fallback,0.2
