timestampMicros,label,intensity
482226,detected,0.2
2367226,detected,0.39149
3435931,detected,1
4483741,detected,0.932251
15299920,detected,0.2
15966581,detected,1
16833271,detected,0.458914
17499861,detected,0.711804
18649822,detected,0.799668
19716814,detected,0.320143
20516375,detected,0.27928
21433107,detected,0.405712
22418084,detected,0.300405
23499592,detected,0.273235
24482931,detected,0.459563
25216220,detected,1
26582869,detected,0.557773
27599460,detected,0.42574
28316088,detected,1
28816053,detected,0.557922
29632711,detected,0.426377
30332659,detected,0.405584
31615948,detected,0.378057
34915849,detected,1
36515777,detected,0.520412
39849644,detected,0.593558
40782308,detected,0.241014
41365584,detected,0.278038
42148905,detected,0.217467
42765526,detected,0.5277
43732226,detected,0.918202
44798770,detected,0.644894
46798890,detected,0.890198
47799399,detected,0.886774
48715292,detected,0.352247
50015239,detected,0.361168
51015212,detected,0.333406
52048522,detected,0.34413
52965115,detected,0.305954
53965080,detected,0.310184
56831627,detected,0.478489
58248279,detected,0.481176
59864853,detected,1
61581447,detected,1
64747964,detected,1
65397966,detected,0.38364
65964586,detected,0.480244
66464558,detected,1
67914487,detected,1
68447825,detected,1
69264462,detected,1
71031071,detected,1
74480926,detected,1
75747553,detected,1
77697462,detected,0.248665
79214090,detected,0.906858
80097369,detected,0.611215
81163975,detected,0.233811
81697311,detected,0.955348
82547283,detected,0.319224
83663906,detected,1
86563775,detected,1
88014417,detected,0.736196
88696975,detected,0.55839
90130282,detected,0.73148
91246935,detected,0.816728
92296881,detected,0.743187
93380180,detected,0.467712
94063514,detected,0.540524
95330063,detected,0.551173
96363322,detected,0.57485
98763447,detected,0.522356
106279648,detected,0.362557
107029632,detected,0.554798
108029575,detected,0.784474
109046236,detected,0.452441
110096190,detected,0.381177
111129471,detected,0.407585
112579422,detected,0.456963
113162718,detected,1
113696030,detected,0.593378
114662641,detected,0.554966
115762616,detected,0.485469
116812581,detected,0.470406
117579191,detected,1
118579184,detected,0.748915
119079187,detected,0.800269
121195716,detected,0.747459
125778900,detected,0.993506
126428840,detected,0.609227
127295735,detected,0.281383
