timestampMicros,bpm,envelopePeak,sceneId
676581,69.4702,0.756863,Idle
931201,69.5729,0.761928,Idle
1185004,69.6604,0.761873,Idle
1437160,69.7321,0.756969,Idle
1690861,69.7882,0.747444,Idle
1943763,69.8276,0.733738,Idle
2201445,69.8504,0.715908,Idle
2452382,69.8555,0.695303,Idle
2718058,69.8422,0.670609,Idle
2986574,69.8092,0.64333,Idle
3251334,69.7574,0.614861,Idle
3519019,69.6858,0.585221,Idle
3771143,69.6008,0.557163,Idle
4034642,69.4944,0.528342,Idle
4304457,69.3672,0.500004,Idle
4567912,69.2258,0.474064,Idle
4837959,69.0643,0.449779,Idle
5101233,68.8914,0.42878,Idle
5372474,68.6985,0.410268,Idle
5634461,68.499,0.395644,Idle
5884577,68.2977,0.384807,Idle
6151060,68.0727,0.376672,Idle
6401121,67.853,0.372205,Idle
6651185,67.6262,0.370696,Idle
6919027,67.377,0.372162,Idle
7184472,67.1251,0.376475,Idle
7453129,66.867,0.383376,Idle
7719964,66.609,0.392337,Idle
7984439,66.3536,0.402836,Idle
8251127,66.098,0.414565,Idle
8517733,65.8462,0.426937,Idle
8784420,65.5999,0.439456,Idle
9034420,65.3754,0.450891,Idle
9284446,65.1586,0.461648,Idle
9535694,64.9499,0.47143,Idle
9801677,64.7404,0.480322,Idle
10067640,64.5442,0.487415,Idle
10317815,64.373,0.492239,Idle
10584410,64.2061,0.495262,Idle
10834443,64.0654,0.496046,Idle
11100952,63.9332,0.494702,Idle
11351086,63.8267,0.491474,Idle
11617854,63.733,0.486089,Idle
11869484,63.6639,0.479386,Idle
12134795,63.612,0.470904,Idle
12403013,63.582,0.461214,Idle
12668747,63.5749,0.450922,Idle
12934913,63.5905,0.440373,Idle
13188130,63.6266,0.430545,Idle
13450852,63.686,0.421012,Idle
13701007,63.7629,0.412973,Idle
13951136,63.8595,0.406334,Idle
14203479,63.9764,0.401407,Idle
14454526,64.1115,0.398591,Idle
14717437,64.2724,0.398165,Idle
14967464,64.4431,0.400376,Idle
15217464,64.63,0.405288,Idle
15468413,64.833,0.413018,Idle
15735930,65.0651,0.424355,Idle
16002845,65.3114,0.438773,Idle
16269605,65.5707,0.456104,Idle
16534057,65.8392,0.475904,Idle
16800699,66.1196,0.498148,Idle
17067287,66.4079,0.522236,Idle
17317442,66.6839,0.546063,Idle
17584030,66.9822,0.572211,Idle
17834099,67.2642,0.596905,Idle
18100666,67.5651,0.622781,Idle
18367325,67.8645,0.647541,Idle
18633960,68.1602,0.670496,Idle
18884128,68.4326,0.689802,Idle
19150654,68.7155,0.707393,Idle
19400809,68.9725,0.720598,Idle
19669371,69.2373,0.73071,Idle
19933914,69.4852,0.736123,Idle
20183985,69.7061,0.736776,Idle
20450592,69.9257,0.732454,Idle
20717249,70.1273,0.722815,Idle
20983897,70.3095,0.707836,Idle
21233902,70.4614,0.68903,Idle
21484414,70.5942,0.665751,Idle
21752422,70.7139,0.636252,Idle
22003903,70.8042,0.604656,Idle
22267218,70.8752,0.568038,Idle
22538059,70.9225,0.527267,Idle
22800473,70.9429,0.485499,Idle
23050479,70.9389,0.444364,Idle
23300496,70.9118,0.40266,Idle
23550587,70.8617,0.361139,Idle
23817133,70.7831,0.317977,Idle
24085896,70.678,0.276535,Idle
24350418,70.5496,0.238706,Idle
24600435,70.4061,0.206433,Idle
24850456,70.242,0.17824,Idle
25117084,70.045,0.153366,Idle
25383736,69.8267,0.134489,Idle
25650483,69.5881,0.122152,Idle
25917114,69.3311,0.116779,Idle
26183705,69.0571,0.118636,Idle
26433736,68.7862,0.12706,Idle
26700332,68.4843,0.143146,Idle
26950397,68.1905,0.164747,Idle
27219624,67.8647,0.194735,Idle
27483680,67.5377,0.230471,Idle
27750305,67.202,0.272297,Idle
28000314,66.8843,0.3161,Idle
28250317,66.5656,0.363615,Idle
28516917,66.2267,0.417488,Idle
28766966,65.9117,0.47012,Idle
29019973,65.5979,0.524503,Idle
29283576,65.278,0.581327,Idle
29533770,64.9832,0.634415,Idle
29800077,64.6806,0.688933,Idle
30050245,64.4089,0.737302,Idle
30300593,64.1507,0.78204,Idle
30568133,63.8918,0.824862,Idle
30835594,63.6523,0.861621,Idle
31101222,63.4353,0.891351,Idle
31369488,63.2388,0.913854,Idle
31635732,63.0677,0.9282,Idle
31903210,62.9211,0.934244,Idle
32169080,62.8015,0.931755,Idle
32435816,62.7087,0.920735,Idle
32702691,62.6438,0.90133,Idle
32969498,62.6075,0.873887,Idle
33233392,62.6,0.839327,Idle
33483476,62.6193,0.800345,Idle
33750121,62.6679,0.752857,Idle
34016755,62.7455,0.700158,Idle
34283383,62.8516,0.643277,Idle
34550101,62.9857,0.583308,Idle
34816786,63.147,0.521459,Idle
35066786,63.322,0.462853,Idle
35333331,63.5331,0.400871,Idle
35590993,63.7598,0.342576,Idle
35850294,64.0092,0.28662,Idle
36102856,64.2711,0.235724,Idle
36366693,64.5632,0.187337,Idle
36636287,64.8794,0.143887,Idle
36900047,65.204,0.108063,Idle
37170028,65.5497,0.0789468,Idle
37433244,65.8978,0.0584461,Idle
