timestampMicros,sceneFrom,sceneTo,transitionType,triggerReason,timeInStateSec,expectedDurationSec,deviationSec,blendDurationSec,completed
97197738,Idle,Start,manual,button_press,96.924,null,null,1.200,0
98414377,Idle,Start,manual,button_press,1.217,null,null,1.200,1
128429736,Start,FirstPhase,auto,timeout,30.015,30.000,0.015,1.200,0
129630358,Start,FirstPhase,auto,timeout,1.201,30.000,null,1.200,1
189641634,FirstPhase,Exchange,auto,timeout,60.011,60.000,0.011,1.200,0
190858400,FirstPhase,Exchange,auto,timeout,1.217,60.000,null,1.200,1
250874866,Exchange,Mixed,auto,timeout,60.016,60.000,0.016,1.200,0
252074885,Exchange,Mixed,auto,timeout,1.200,60.000,null,1.200,1
342075292,Mixed,End,auto,timeout,90.000,90.000,0.000,1.200,0
343287848,Mixed,End,auto,timeout,1.213,90.000,null,1.200,1
98147796,Idle,Start,manual,button_press,96.783,null,null,1.200,0
99364433,Idle,Start,manual,button_press,1.217,null,null,1.200,1
129379790,Start,FirstPhase,auto,timeout,30.015,30.000,0.015,1.200,0
130580408,Start,FirstPhase,auto,timeout,1.201,30.000,null,1.200,1
190594617,FirstPhase,Exchange,auto,timeout,60.014,60.000,0.014,1.200,0
191794626,FirstPhase,Exchange,auto,timeout,1.200,60.000,null,1.200,1
251808307,Exchange,Mixed,auto,timeout,60.014,60.000,0.014,1.200,0
253008320,Exchange,Mixed,auto,timeout,1.200,60.000,null,1.200,1
343021283,Mixed,End,auto,timeout,90.013,90.000,0.013,1.200,0
344237937,Mixed,End,auto,timeout,1.217,90.000,null,1.200,1
364253730,End,Idle,auto,timeout,20.016,20.000,0.016,1.200,0
365453755,End,Idle,auto,timeout,1.200,20.000,null,1.200,1
430451171,Idle,Start,manual,button_press,64.997,null,null,1.200,0
431669094,Idle,Start,manual,button_press,1.218,null,null,1.200,1
461683149,Start,FirstPhase,auto,timeout,30.014,30.000,0.014,1.200,0
462883731,Start,FirstPhase,auto,timeout,1.201,30.000,null,1.200,1
522898067,FirstPhase,Exchange,auto,timeout,60.014,60.000,0.014,1.200,0
524114699,FirstPhase,Exchange,auto,timeout,1.217,60.000,null,1.200,1
584128361,Exchange,Mixed,auto,timeout,60.014,60.000,0.014,1.200,0
585328376,Exchange,Mixed,auto,timeout,1.200,60.000,null,1.200,1
675341387,Mixed,End,auto,timeout,90.013,90.000,0.013,1.200,0
676558015,Mixed,End,auto,timeout,1.217,90.000,null,1.200,1
696573778,End,Idle,auto,timeout,20.016,20.000,0.016,1.200,0
697773803,End,Idle,auto,timeout,1.200,20.000,null,1.200,1
48316448,Idle,Start,manual,button_press,46.931,null,null,1.200,0
49533069,Idle,Start,manual,button_press,1.217,null,null,1.200,1
79548475,Start,FirstPhase,auto,timeout,30.015,30.000,0.015,1.200,0
80748950,Start,FirstPhase,auto,timeout,1.200,30.000,null,1.200,1
140763047,FirstPhase,Exchange,auto,timeout,60.014,60.000,0.014,1.200,0
141968804,FirstPhase,Exchange,auto,timeout,1.206,60.000,null,1.200,1
201976822,Exchange,Mixed,auto,timeout,60.008,60.000,0.008,1.200,0
203176910,Exchange,Mixed,auto,timeout,1.200,60.000,null,1.200,1
16184597,Idle,Start,manual,button_press,15.650,null,null,1.200,0
17384728,Idle,Start,manual,button_press,1.200,null,null,1.200,1
47399992,Start,FirstPhase,auto,timeout,30.015,30.000,0.015,1.200,0
48600155,Start,FirstPhase,auto,timeout,1.200,30.000,null,1.200,1
108614817,FirstPhase,Exchange,auto,timeout,60.015,60.000,0.015,1.200,0
109830697,FirstPhase,Exchange,auto,timeout,1.216,60.000,null,1.200,1
169846878,Exchange,Mixed,auto,timeout,60.016,60.000,0.016,1.200,0
171047095,Exchange,Mixed,auto,timeout,1.200,60.000,null,1.200,1
261063384,Mixed,End,auto,timeout,90.016,90.000,0.016,1.200,0
262263710,Mixed,End,auto,timeout,1.200,90.000,null,1.200,1
6435081,Idle,Start,manual,button_press,5.895,null,null,1.200,0
